route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
606-4715,606,"Baringa - Caloundra",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/606,E463A4,000000
606-5021,606,"Baringa - Caloundra",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/606,E463A4,000000
607-4715,607,"Caloundra - University via SCUH and Kawana",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/607,E463A4,000000
607-5021,607,"Caloundra - University via SCUH and Kawana",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/607,E463A4,000000
608-4715,608,"Caloundra - Nirimba",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/608,E463A4,000000
608-5021,608,"Caloundra - Nirimba",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/608,E463A4,000000
609-4715,609,"Pelican Waters - Caloundra",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/609,E463A4,000000
609-5021,609,"Pelican Waters - Caloundra",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/609,E463A4,000000
610-4715,610,"Nambour - Maroochydore via Kunda Park",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/610,E463A4,000000
610-5021,610,"Nambour - Maroochydore via Kunda Park",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/610,E463A4,000000
611-4715,611,"Maroochydore - SCUH via Mooloolaba and Kawana",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/611,E463A4,000000
611-5021,611,"Maroochydore - SCUH via Mooloolaba and Kawana",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/611,E463A4,000000
612-4715,612,"Nambour - Maroochydore via Bli Bli",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/612,E463A4,000000
612-5021,612,"Nambour - Maroochydore via Bli Bli",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/612,E463A4,000000
613-5021,613,"Maroochydore - Alexandra Headland Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/613,E463A4,000000
614-4715,614,"Kawana - Maroochydore via Mountain Creek",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/614,E463A4,000000
614-5021,614,"Kawana - Maroochydore via Mountain Creek",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/614,E463A4,000000
615-4715,615,"Maroochydore - Landsborough via University",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/615,E463A4,000000
615-5021,615,"Maroochydore - Landsborough via University",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/615,E463A4,000000
616-4715,616,"Maroochydore - University via Alexandra Headland",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/616,E463A4,000000
616-5021,616,"Maroochydore - University via Alexandra Headland",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/616,E463A4,000000
617-4715,617,"Maroochydore - Sippy Downs via University",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/617,E463A4,000000
617-5021,617,"Maroochydore - Sippy Downs via University",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/617,E463A4,000000
618-4715,618,"Sippy Downs - Kawana via University",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/618,E463A4,000000
618-5021,618,"Sippy Downs - Kawana via University",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/618,E463A4,000000
619-4715,619,"Kawana - Maroochydore via Alexandra Headland",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/619,E463A4,000000
619-5021,619,"Kawana - Maroochydore via Alexandra Headland",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/619,E463A4,000000
620-4715,620,"Noosa Heads - Maroochydore via Peregian Beach",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/620,E463A4,000000
620-5021,620,"Noosa Heads - Maroochydore via Peregian Beach",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/620,E463A4,000000
622-4715,622,"Maroochydore - Noosa Junction via Airport, Coolum",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/622,E463A4,000000
